Date,GBP to PKR,GBP to INR,GBP to NGN,EUR to PKR,EUR to INR,EUR to NGN
05/01/2024,348.195,104.528,1739.72,297.738,89.381,1502
05/02/2024,348.738,104.552,1691.56,298.449,89.484,1485
05/03/2024,348.786,104.587,1729.82,299.126,89.696,1514.8
05/04/2024,348.834,104.6146667,1710.46,299.8256667,89.83533333,1513.4
05/05/2024,348.882,104.6441667,1705.51,300.5196667,89.99283333,1519.8
05/06/2024,349.196,104.859,1733.42,299.35,89.891,1514.8
05/07/2024,347.382,104.381,1730.97,298.665,89.742,1540.4
05/08/2024,347.941,104.302,1758.27,299.19,89.705,1487.39
05/09/2024,348.612,104.485,1789.46,300.143,89.958,1511.22
05/10/2024,348.109,104.602,1784.83,299.4,89.965,1550.72
05/11/2024,348.1367333,104.4983444,1781.5,299.9901111,90.03958889,1532.65
05/12/2024,348.0765939,104.4879556,1789.52,300.1263798,90.08951111,1536.05
05/13/2024,349.012,104.809,1815.43,299.82,90.037,1585
05/14/2024,349.846,105.087,1885.68,300.654,90.311,1555.9
05/15/2024,352.643,105.807,1926.85,302.52,90.768,1649.28
05/16/2024,352.431,105.706,1925.23,302.319,90.668,1707
05/17/2024,353.413,105.757,1862.94,302.512,90.525,1658.3
05/18/2024,354.395,105.7066667,1841.1,302.4423333,90.41066667,1680.55
05/19/2024,355.377,105.6816667,1809.15,302.4383333,90.28916667,1685.06
05/20/2024,353.768,105.799,1943.52,302.279,90.4,1632.81
05/21/2024,353.509,105.786,1798.04,301.903,90.343,1598.15
05/22/2024,354.075,105.814,1830.96,301.332,90.052,1568.2
05/23/2024,353.04,105.69,1862.65,300.655,90.007,1585.94
05/24/2024,354.54,105.769,1876.99,301.946,90.079,1586.02
05/25/2024,354.3055,105.7248,1841.9,301.0488,89.8828,1562.49
05/26/2024,354.5113,105.7092,1835.05,300.8574,89.785,1551.91
05/27/2024,355.206,106.105,1882,302.07,90.232,1607.89
05/28/2024,354.728,106.112,1660.08,301.769,90.27,1585.67
05/29/2024,353.439,105.833,1676.27,300.586,90.007,1518.6
05/30/2024,354.049,106.024,1522.76,301.238,90.192,1622.7
05/31/2024,354.552,106.274,1890.47,301.727,90.44,1450.79
06/01/2024,354.2125,106.23,1821.81,301.4615,90.401,1469.31
06/02/2024,354.2207,106.2977,1875.57,301.5141,90.4705,1439.25
06/03/2024,356.617,106.379,1897.55,303.643,90.577,1636.5
06/04/2024,355.067,106.602,1914.76,302.626,90.857,1630
06/05/2024,355.96,106.589,1918.06,302.559,90.599,1624.15
06/06/2024,355.762,106.736,1918.51,302.904,90.877,1685.9
06/07/2024,354.305,106.247,1844.77,300.802,90.203,1606.1
06/08/2024,354.6525,106.314,1846.65,300.941,90.213,1634.05
06/09/2024,354.4041,106.2222,1825.69,300.4283,90.0446,1633.06
06/10/2024,354.429,106.296,1922.39,299.663,89.871,1502
06/11/2024,354.554,106.506,1943.16,298.894,89.778,1485
06/12/2024,356.01,106.757,1951.7,300.672,90.163,1514.8
06/13/2024,355.108,106.589,1946.06,298.777,89.68,1514.8
06/14/2024,352.813,105.954,1909.26,297.674,89.395,1540.4
06/15/2024,350.518,105.319,1872.45,296.571,89.11,1566
06/16/2024,348.223,104.684,1835.65,295.468,88.825,1591.6
06/17/2024,353.867,106.07,1882.13,299.017,89.629,1487.39
06/18/2024,353.509,105.887,1900,298.731,89.48,1511.22
06/19/2024,353.56,106.144,1901.65,298.655,89.661,1550.72
06/20/2024,351.809,105.821,1892.23,297.46,89.473,1606.1
06/21/2024,351.531,105.659,1915.95,297.21,89.332,1606.1
06/22/2024,350.271,105.3896667,1917.58,296.33,89.15966667,1643.02
06/23/2024,349.2565,105.1471667,1924.73,295.6075,88.99516667,1670.71
06/24/2024,354.092,105.865,1922.32,299.552,89.559,1585
06/25/2024,353.653,105.78,1934.47,298.721,89.35,1555.9
06/26/2024,351.313,105.444,1924.79,297.303,89.234,1649.28
06/27/2024,351.842,105.449,1927.61,297.944,89.295,1707
06/28/2024,351.7,105.377,1928.22,298.036,89.298,1658.3
06/29/2024,352.0053333,105.3563333,1930.3,298.494,89.33966667,1680.55
06/30/2024,352.1988333,105.3228333,1932.01,298.8605,89.37166667,1685.06
07/01/2024,352.778,105.532,1929.13,299.504,89.596,1658.3
07/02/2024,353.782,105.911,1947.23,299.672,89.712,1632.81
07/03/2024,355.372,106.413,1955.98,300.815,90.076,1598.15
07/04/2024,355.338,106.506,1958.66,301.086,90.245,1568.2
07/05/2024,356.438,106.964,1967.04,301.512,90.481,1585.94
07/06/2024,356.782,107.1786667,1971.62,301.8346667,90.67233333,1571.89
07/07/2024,357.315,107.4541667,1977.15,302.1831667,90.87483333,1565.78
07/08/2024,356.271,106.913,1965.88,301.122,90.364,1586.02
07/09/2024,355.751,106.693,1962.74,300.898,90.242,1586.02
07/10/2024,357.412,107.269,2042.93,301.345,90.441,1607.89
07/11/2024,359.883,107.824,2066.25,302.913,90.756,1585.67
07/12/2024,361.502,108.5,2079.05,303.459,91.079,1518.6
07/13/2024,363.121,109.176,2091.85,304.005,91.402,1451.53
07/14/2024,364.74,109.852,2104.65,304.551,91.725,1384.46
07/15/2024,360.779,108.332,2074.89,303.126,91.02,1622.7
07/16/2024,360.751,108.289,2068.24,303.209,91.016,1450.79
7/17/2024,361.137,108.651,1616.22,303.4,91.28,1765.54
7/18/2024,360.199,108.537,1624.16,302.986,91.3175,1773.5
7/19/2024,358.959,108.137,1624.15,302.345,91.0821,1767.8
7/20/2024,358.912,108.091,1605,302.408,91.0738,1745.92
7/21/2024,358.801,108.104,1605.18,302.325,91.0883,1746.4
7/22/2024,358.663,108.12,1625.17,302.136,91.087,1769.3
7/23/2024,358.21,108.063,1601.57,301.426,90.9326,1740.38
7/24/2024,358.657,108.022,1584.84,301.422,90.7836,1718.66
7/25/2024,357.722,108.834,1583.07,301.306,90.8276,1717.01
7/26/2024,356.926,107.709,1589.99,301.195,90.8914,1726.07
7/27/2024,356.367,107.696,1595.5,300.681,90.8678,1731.88
7/28/2024,356.37,107.694,1595.54,300.681,90.8647,1731.95
7/29/2024,356.945,107.648,1618.4,300.842,90.7285,1753.55
7/30/2024,357.302,107.533,1628.48,300.94,90.5703,1761.54
7/31/2024,357.299,107.501,1659.19,301.139,90.6042,1795.87
08/01/2024,355.818,107.081,1660.55,300.507,90.4357,1793.57
08/02/2024,354.954,106.901,1638.86,301.823,90.9035,1778.72
08/03/2024,456.655,107.239,1619.5,303.912,91.3801,1766.87
08/04/2024,356.628,107.235,1620.67,303.915,91.385,1768.18
